City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,shahritus,37.2637,68.1385,11.4,52,0,1.22,TJ,1710430792
148,keetmanshoop,-26.5833,18.1333,34.51,10,0,1.03,NA,1710430793
149,egilsstadir,65.2653,-14.3948,-3.05,80,75,5.14,IS,1710430793
150,olinda,-8.0089,-34.8553,28.85,89,75,4.12,BR,1710430669
151,argo,37.6333,22.7333,16.55,66,25,2.02,GR,1710430793
152,meerane,50.85,12.4667,15.35,72,100,4.63,DE,1710430794
153,nuku'alofa,-21.1333,-175.2,25.19,100,75,3.09,TO,1710430794
154,tura,25.5198,90.2201,22.6,25,0,1.57,IN,1710430794
155,altamira,-3.2033,-52.2064,29.05,84,75,2.57,BR,1710430794
156,huangnihe,43.5583,128.0239,5.13,41,100,5.19,CN,1710430795
157,dul'durga,50.6761,113.5931,-7.41,74,57,2.69,RU,1710430795
158,ust-tsilma,65.441,52.1498,-8.55,88,67,2.68,RU,1710430795
159,danilovka,50.3557,44.1168,-0.26,74,28,3.28,RU,1710430796
160,qaqortoq,60.7167,-46.0333,-1.68,74,18,2.39,GL,1710430796
161,greenville,35.6127,-77.3663,25.07,39,0,0.45,US,1710430796
162,safotu,-13.4513,-172.4018,28.36,80,93,2.98,WS,1710430796
163,san patricio,28.017,-97.5169,24.53,68,79,9.92,US,1710430797
164,jamestown,42.097,-79.2353,15.57,52,20,3.09,US,1710430797
165,dhuusamarreeb,5.535,46.3861,32.06,26,24,8.17,SO,1710430505
166,punta arenas,-53.15,-70.9167,7.06,61,75,7.2,CL,1710430798
167,oroquieta,8.4858,123.8044,24.93,93,96,0.95,PH,1710430798
168,masuda,34.6667,131.85,6.58,73,0,3.35,JP,1710430798
169,irece,-11.3042,-41.8558,32.88,38,12,2.99,BR,1710430798
170,villamontes,-21.25,-63.5,33.69,59,14,2.06,BO,1710430799
171,chhor,25.5167,69.7667,26.95,11,0,5.06,PK,1710430799
172,aasiaat,68.7098,-52.8699,-15.5,90,100,0.3,GL,1710430799
173,margate,51.3813,1.3862,12.39,84,93,6.75,GB,1710430799
174,sayaxche,16.5167,-90.1667,29.49,59,100,2.06,GT,1710430800
175,juneau,58.3019,-134.4197,8.0,89,75,7.2,US,1710430800
176,labrador city,52.9463,-66.9114,-3.05,86,100,1.03,CA,1710430801
177,mandalgovi,45.7625,106.2708,-3.19,81,36,5.37,MN,1710430801
178,vylkove,45.4021,29.586,5.12,86,100,4.58,UA,1710430801
